#{"t_start": 1783543244.1347098, "env_id": "None"}
r,l,t
9.7,8,217.958308
13.2,13,217.964315
11.2,8,217.967861
13.9,26,217.978805
12.0,10,217.983714
11.6,9,217.988709
11.2,13,217.994228
10.6,14,218.00123
13.1,19,218.015256
9.9,11,218.021273
14.2,38,218.038272
11.7,33,218.05127
11.6,14,218.057283
11.1,19,218.067799
11.2,8,218.0718
15.1,24,218.081416
10.5,10,218.085415
12.1,14,218.090416
13.0,15,218.097324
10.5,15,218.102322
11.7,13,218.107324
11.5,10,218.111413
11.8,12,218.116418
10.6,14,218.122419
13.2,23,218.134321
12.0,20,218.142323
12.5,15,218.147324
13.0,15,218.152322
11.3,22,218.160519
11.2,13,218.165519
12.4,16,218.175557
13.5,20,218.184671
11.6,9,218.18967
12.1,14,218.19467
14.0,15,218.19967
14.0,15,218.205677
11.2,8,218.208674
13.9,16,218.214674
12.8,12,218.218674
18.7,33,218.230673
12.5,20,218.237674
16.2,28,218.246673
13.8,17,218.25368
18.1,39,218.266696
16.1,24,218.275775
10.2,13,218.281774
11.4,11,218.290141
11.5,15,218.298142
11.5,15,218.308136
13.9,31,218.325126
12.6,14,218.331225
11.1,14,218.338226
11.2,8,218.343222
11.5,10,218.350143
12.9,16,218.360217
10.8,17,218.366244
11.4,16,218.372766
10.9,11,218.376285
14.7,33,218.385284
13.7,18,218.393383
14.1,29,218.403286
11.6,19,218.41229
11.4,11,218.416289
10.2,13,218.421287
10.6,9,218.42438
11.1,9,218.427384
12.2,18,218.438626
9.3,17,218.457765
11.3,12,218.464764
11.5,10,218.469301
11.5,15,218.477077
11.9,16,218.487995
12.2,23,218.503985
11.7,23,218.517294
10.9,11,218.526871
12.9,16,218.538408
14.2,18,218.547893
11.8,12,218.551889
16.7,33,218.561893
12.1,19,218.566892
13.7,18,218.57241
13.6,19,218.58257
11.0,10,218.586569
11.0,10,218.590568
11.9,21,218.597568
17.4,36,218.607568
13.3,17,218.612569
10.0,10,218.615568
12.6,14,218.619569
14.9,21,218.625566
13.2,18,218.630565
12.9,21,218.63657
19.2,38,218.648565
16.0,35,218.658573
10.7,8,218.660572
10.9,16,218.665571
11.4,21,218.672085
10.4,11,218.675086
11.7,13,218.6796
