#{"t_start": 1783524560.5107722, "env_id": "None"}
r,l,t
9.1,9,9.098056
8.9,11,9.101055
8.9,11,9.104078
8.0,20,9.110085
8.6,14,9.114103
8.8,12,9.11711
7.5,25,9.124655
8.5,15,9.128655
8.8,12,9.13268
8.7,13,9.136227
9.0,10,9.139227
8.7,13,9.143647
9.1,9,9.146274
8.4,16,9.151269
9.0,10,9.155353
8.0,20,9.162886
8.6,14,9.167423
8.1,19,9.172423
8.6,14,9.177445
9.2,8,9.179446
8.9,11,9.182952
8.1,19,9.188576
8.2,18,9.195126
8.9,11,9.198127
8.7,13,9.202647
9.0,10,9.205511
9.2,8,9.208511
8.8,12,9.212511
8.8,12,9.216549
8.5,15,9.220546
9.1,9,9.224078
9.2,8,9.228085
8.5,15,9.231084
8.8,12,9.236106
8.6,14,9.240108
9.0,10,9.244193
8.5,15,9.249188
8.5,15,9.254258
8.9,11,9.258221
8.9,11,9.261251
8.5,15,9.266705
8.8,12,9.270706
9.0,10,9.274234
9.0,10,9.278216
8.8,12,9.281201
8.7,13,9.286281
9.1,9,9.288263
9.2,8,9.291262
8.9,11,9.295287
8.3,17,9.300299
8.7,13,9.305312
8.7,13,9.309314
8.9,11,9.313322
8.1,19,9.318829
7.9,21,9.326402
8.6,14,9.3304
9.2,8,9.334282
8.8,12,9.337301
8.8,12,9.341288
8.3,17,9.347323
8.1,19,9.353625
8.5,15,9.358248
8.5,15,9.363255
8.6,14,9.367791
7.6,24,9.37482
8.8,12,9.378804
8.7,13,9.383846
8.4,16,9.387843
9.0,10,9.390832
8.7,13,9.395871
8.8,12,9.39987
9.0,10,9.403932
9.0,10,9.40694
9.1,9,9.410174
7.5,25,9.418296
9.2,8,9.421327
8.3,17,9.426905
9.1,9,9.429917
8.6,14,9.434989
9.0,10,9.437989
8.3,17,9.443902
8.9,11,9.4469
8.9,11,9.450899
8.8,12,9.454931
8.8,12,9.458931
8.3,17,9.46496
8.3,17,9.46996
8.9,11,9.474986
9.0,10,9.477988
8.7,13,9.482495
9.0,10,9.486016
9.0,10,9.489016
9.0,10,9.493546
9.0,10,9.497766
7.9,21,9.504306
8.1,19,9.511324
8.3,17,9.516404
8.1,19,9.521404
9.0,10,9.525422
8.8,12,9.528947
8.4,16,9.534007
8.8,12,9.538013
7.4,26,9.546075
7.6,24,9.554162
9.2,8,9.557162
8.5,15,9.561166
8.8,12,9.565259
8.9,11,9.569258
9.0,10,9.573331
